team_id,team_name
8291895,Tundra Esports
9467224,Aurora Gaming
2163,Team Liquid
8261500,Xtreme Gaming
9338413,MOUZ
9572001,PARIVISION
8255888,BetBoom Team
9247354,Team Falcons
2586976,OG
8254145,Execration
9964962,GamerLegion
67,paiN Gaming
9823272,Team Yandex
9351740,Yakult Brothers
36,Natus Vincere
7119388,Team Spirit
9303484,HEROIC
7554697,Nigma Galaxy
9640842,Team Tidebound
9928403,Team Cobra
9885310,Roar
9885654,Team Aureus
9989747,Team Somnus
9927796,Tearlaments
9895392,Virtus.pro
9255039,1w Team
9872667,Pipsqueak+4
9247798,Passion UA
9758040,Runa Team
9691969,Team Nemesis
9989179,Amaru Gaming
726228,Vici Gaming
9824702,PARIVISION
9828897,REKONIX
9989756,Team Quinn
