team_name,total_wins,total_matches,avg_duration,avg_kills,avg_win_duration,avg_lose_duration,avg_kills_win,avg_kills_lose,winrate
1w Team,3,13,45.50076923076923,47.92307692307692,31.906666666666666,49.579,46.666666666666664,48.3,0.23076923076923078
Amaru Gaming,4,14,36.31928571428571,45.857142857142854,53.834999999999994,29.313,59.5,40.4,0.2857142857142857
Aurora Gaming,48,88,40.815909090909095,47.13636363636363,42.33604166666667,38.99175,48.729166666666664,45.225,0.5454545454545454
BetBoom Team,56,111,40.96945945945946,45.36036036036036,41.49821428571429,40.43109090909091,44.92857142857143,45.8,0.5045045045045045
Execration,8,40,35.7155,46.9,34.769999999999996,35.951875,42.0,48.125,0.2
GamerLegion,22,56,37.61678571428571,43.410714285714285,38.84409090909091,36.82264705882353,44.36363636363637,42.794117647058826,0.39285714285714285
HEROIC,46,96,43.40510416666667,49.979166666666664,45.64630434782609,41.343199999999996,51.0,49.04,0.4791666666666667
MOUZ,79,146,37.00506849315068,47.513698630136986,35.960506329113926,38.23671641791045,46.721518987341774,48.44776119402985,0.541095890410959
Natus Vincere,45,89,41.96674157303371,48.26966292134831,42.04888888888889,41.88272727272727,46.888888888888886,49.68181818181818,0.5056179775280899
Nigma Galaxy,13,34,42.0885294117647,47.11764705882353,41.02846153846154,42.7447619047619,46.84615384615385,47.285714285714285,0.38235294117647056
OG,45,84,40.43154761904762,45.666666666666664,38.76266666666667,42.357179487179486,46.577777777777776,44.61538461538461,0.5357142857142857
PARIVISION,49,87,42.24563218390804,46.0,40.111428571428576,44.99763157894737,44.6530612244898,47.73684210526316,0.5632183908045977
Passion UA,4,15,35.854,48.53333333333333,37.1975,35.36545454545455,50.0,48.0,0.26666666666666666
Pipsqueak+4,7,14,32.295,46.214285714285715,31.622857142857146,32.96714285714286,41.142857142857146,51.285714285714285,0.5
REKONIX,1,13,40.60846153846153,50.23076923076923,38.07,40.82,49.0,50.333333333333336,0.07692307692307693
Roar,1,7,31.997142857142855,44.714285714285715,25.12,33.14333333333333,49.0,44.0,0.14285714285714285
Runa Team,10,24,38.262499999999996,47.208333333333336,40.467,36.68785714285714,50.9,44.57142857142857,0.4166666666666667
Team Aureus,5,13,33.473846153846154,38.53846153846154,37.08,31.22,45.6,34.125,0.38461538461538464
Team Cobra,3,16,35.24875,42.5625,35.24333333333333,35.25,37.333333333333336,43.76923076923077,0.1875
Team Falcons,76,123,41.6219512195122,47.99186991869919,41.35631578947368,42.05148936170213,47.18421052631579,49.297872340425535,0.6178861788617886
Team Liquid,82,134,39.89962686567164,49.95522388059702,38.58548780487805,41.971923076923076,48.792682926829265,51.78846153846154,0.6119402985074627
Team Nemesis,7,16,42.12625,51.5625,45.80714285714286,39.263333333333335,55.0,48.888888888888886,0.4375
Team Spirit,62,107,40.27373831775701,47.13084112149533,38.48887096774193,42.73288888888889,46.12903225806452,48.51111111111111,0.5794392523364486
Team Tidebound,14,35,38.73314285714286,42.02857142857143,39.644285714285715,38.12571428571429,42.642857142857146,41.61904761904762,0.4
Team Yandex,57,105,40.13952380952381,47.86666666666667,38.868596491228075,41.64875,46.40350877192982,49.604166666666664,0.5428571428571428
Tearlaments,2,14,35.30214285714286,46.57142857142857,41.165,34.324999999999996,56.5,44.916666666666664,0.14285714285714285
Tundra Esports,92,140,40.091857142857144,49.41428571428571,38.695,42.76916666666667,48.391304347826086,51.375,0.6571428571428571
Vici Gaming,6,12,39.3675,43.75,35.13666666666666,43.59833333333333,41.166666666666664,46.333333333333336,0.5
Virtus.pro,10,26,38.44538461538462,46.84615384615385,38.154,38.6275,50.6,44.5,0.38461538461538464
Xtreme Gaming,51,101,42.04534653465346,45.584158415841586,43.879019607843134,40.175,47.666666666666664,43.46,0.504950495049505
Yakult Brothers,21,78,37.55051282051282,47.85897435897436,41.43,36.121228070175434,52.80952380952381,46.03508771929825,0.2692307692307692
paiN Gaming,3,13,38.699230769230766,52.61538461538461,42.416666666666664,37.583999999999996,45.666666666666664,54.7,0.23076923076923078
