match_id,throw,comeback,loss,first_blood_time,patch
8712056091,7136.0,,9262.0,32,59
8711970053,0.0,,13548.0,142,59
8711885801,,57.0,,50,59
8711768658,,326.0,,1,59
8711578057,1828.0,,18091.0,71,59
8711465051,370.0,,26327.0,0,59
8710481024,1029.0,,18958.0,70,59
8710371476,,743.0,,100,59
8710260672,,392.0,,41,59
8710135523,,100.0,,48,59
8710019404,,4720.0,,98,59
8708807338,,11872.0,,334,59
8708690141,,3515.0,,97,59
8708689404,4676.0,,24997.0,130,59
8708568399,,9884.0,,109,59
8708565430,701.0,,22877.0,153,59
8708445472,,0.0,,40,59
8708443393,,1803.0,,0,59
8708368779,85.0,,13642.0,24,59
8708347585,,3131.0,,53,59
8708294079,,28.0,,67,59
8708293887,5975.0,,12996.0,115,59
8707906607,2194.0,,26560.0,136,59
8707867898,,3448.0,,96,59
8707822522,658.0,,14586.0,155,59
8707774059,1854.0,,16239.0,145,59
8707662784,,2124.0,,286,59
8707575685,,0.0,,268,59
8707467954,3352.0,,11505.0,104,59
8707360093,,2996.0,,50,59
8707250597,,2161.0,,102,59
8707134142,504.0,,19807.0,0,59
8707039268,0.0,,21882.0,122,59
8706982309,,-2.0,,0,59
8706561733,719.0,,15196.0,325,59
8706520721,2317.0,,12767.0,152,59
8706467498,0.0,,22893.0,8,59
8706393740,1023.0,,11585.0,43,59
8706315543,,367.0,,0,59
8706217180,,1208.0,,4,59
8706108597,,360.0,,250,59
8705985032,14474.0,,990.0,64,59
8705868819,,0.0,,108,59
8705770056,,2118.0,,99,59
8705689500,,7143.0,,48,59
8705234350,,4969.0,,12,59
8705170081,13420.0,,22099.0,0,59
8705093983,,457.0,,0,59
8704994010,,374.0,,14,59
8704911047,,601.0,,106,59
8704809958,82.0,,20514.0,142,59
8704672982,5833.0,,35943.0,169,59
8704584247,109.0,,17468.0,224,59
8704436647,,0.0,,321,59
8704372110,,4015.0,,81,59
8703862527,0.0,,21364.0,357,59
8703811606,,0.0,,183,59
8703682176,,13728.0,,12,59
8703596234,2775.0,,14002.0,41,59
8703518862,,546.0,,59,59
8703354577,373.0,,10035.0,0,59
8703243107,,1621.0,,50,59
8703101544,,9723.0,,171,59
8702997623,10999.0,,2950.0,337,59
8702331491,2355.0,,32300.0,12,59
8702232936,0.0,,30837.0,92,59
8702081221,-17.0,,16586.0,229,59
8701978003,,756.0,,144,59
8701817219,744.0,,18278.0,14,59
8701666212,,10296.0,,7,59
8701495156,,1469.0,,128,59
8701415358,1053.0,,24112.0,37,59
8700717009,,393.0,,50,59
8700643559,,981.0,,214,59
8700519354,,8911.0,,0,59
8700405044,579.0,,15702.0,96,59
8700287136,,38.0,,173,59
8700166436,,812.0,,70,59
8700062110,,1179.0,,135,59
8699897894,,213.0,,15,59
8699819713,,249.0,,109,59
8698996024,,456.0,,246,59
8698904895,0.0,,16703.0,185,59
8698782516,633.0,,25620.0,4,59
8698668899,1134.0,,25937.0,2,59
8698660679,,8131.0,,299,59
8698630441,,281.0,,153,59
8698613744,,3130.0,,133,59
8698568968,,356.0,,246,59
8698542436,0.0,,19318.0,186,59
8698519769,,8355.0,,143,59
8698519674,,5298.0,,224,59
8698438568,,2992.0,,92,59
8698437169,23.0,,18869.0,106,59
8698436662,,2466.0,,0,59
8698428156,,-19.0,,17,59
8698371604,0.0,,13669.0,1,59
8698371110,,921.0,,32,59
8698367627,736.0,,14966.0,104,59
8698367105,3158.0,,16752.0,57,59
8697789792,,0.0,,512,59
8697754563,5790.0,,11189.0,319,59
8697750242,,0.0,,14,59
8697723954,3276.0,,19714.0,168,59
8697698749,,3420.0,,281,59
8697682487,,961.0,,144,59
8697681037,2529.0,,19721.0,5,59
8697666126,,3203.0,,354,59
8697596107,,12793.0,,99,59
8697576851,1961.0,,26224.0,35,59
8697564182,,1371.0,,70,59
8697542120,,243.0,,7,59
8697485006,3131.0,,12430.0,155,59
8697483686,1241.0,,19172.0,196,59
8697468814,4824.0,,21060.0,251,59
8697450883,7107.0,,8847.0,259,59
8697361675,,3076.0,,247,59
8697344540,281.0,,19242.0,155,59
8697341660,,4875.0,,332,59
8697328519,,0.0,,54,59
8697269393,0.0,,14901.0,203,59
8697256357,0.0,,24865.0,14,59
8697255100,,0.0,,6,59
8697249030,,0.0,,429,59
8697190420,748.0,,20823.0,91,59
8697171723,0.0,,29266.0,162,59
8697154213,,671.0,,128,59
8697151353,10014.0,,7499.0,6,59
8697096074,,508.0,,128,59
8697090294,,209.0,,204,59
8697089342,,18600.0,,155,59
8697088694,0.0,,17807.0,8,59
8696528491,,1107.0,,13,59
8696488308,,916.0,,7,59
8696474752,,552.0,,158,59
8696466009,,831.0,,306,59
8696428864,7562.0,,11591.0,160,59
8696407511,1979.0,,18735.0,159,59
8696400188,791.0,,16866.0,369,59
8696399585,632.0,,14827.0,0,59
8696317708,488.0,,14861.0,241,59
8696315160,,113.0,,245,59
8696295052,168.0,,21572.0,153,59
8696286823,,1806.0,,36,59
8696228605,2317.0,,18667.0,116,59
8696218051,464.0,,23346.0,3,59
8696216369,,28.0,,61,59
8696203572,,654.0,,23,59
8696122466,644.0,,15804.0,188,59
8696116685,,2289.0,,239,59
8696105036,683.0,,12838.0,7,59
8696088640,,439.0,,0,59
8696032319,3177.0,,13733.0,54,59
8696025726,,4192.0,,172,59
8696016706,,0.0,,40,59
8696007524,,954.0,,266,59
8695945509,,-16.0,,3,59
8695942998,753.0,,10626.0,0,59
8695931779,,1392.0,,139,59
8695931537,,3948.0,,107,59
8695879068,1149.0,,19455.0,50,59
8695867426,1852.0,,17664.0,320,59
8695864051,30.0,,30242.0,347,59
8695336368,19551.0,,10196.0,165,59
8695317896,,2189.0,,0,59
8695299239,,0.0,,199,59
8695261608,,0.0,,153,59
8695241710,,421.0,,293,59
8695219250,,0.0,,127,59
8695177931,1807.0,,15983.0,6,59
8695145808,0.0,,27053.0,7,59
8695126869,2838.0,,11707.0,230,59
8695096621,1461.0,,17213.0,5,59
8695048813,,2934.0,,107,59
8695029034,,6586.0,,241,59
8694987925,,-388.0,,0,59
8694940772,,7635.0,,152,59
8694931163,2580.0,,8556.0,52,59
8694893418,,846.0,,0,59
8694844159,,6142.0,,277,59
8694827368,1258.0,,20982.0,0,59
8694763191,13839.0,,7948.0,178,59
8694753345,,1676.0,,86,59
8694745868,0.0,,9462.0,14,59
8694692688,-700.0,,16138.0,0,59
8694627572,,1261.0,,4,59
8694620579,575.0,,17998.0,40,59
8694016846,4289.0,,13995.0,7,59
8693948351,43.0,,20413.0,150,59
8693833533,,1610.0,,8,59
8693723587,1314.0,,17542.0,364,59
8693593278,0.0,,15163.0,205,59
8693504706,,1062.0,,409,59
8693417171,,238.0,,6,59
8693354840,,0.0,,76,59
8573489164,1134.0,,23222.0,255,58
8573374192,729.0,,27363.0,376,58
8573257030,909.0,,8316.0,0,58
8573136306,5284.0,,17880.0,197,58
8572973892,,5428.0,,366,58
8572758153,580.0,,25085.0,121,58
8572646777,,9329.0,,245,58
8572546517,,0.0,,93,58
8571700292,,953.0,,7,58
8571606565,893.0,,23867.0,0,58
8571495717,16.0,,20558.0,75,58
8571364449,,7677.0,,256,58
8571247569,,1368.0,,335,58
8571126998,,311.0,,20,58
8570969478,,5229.0,,247,58
8570874935,132.0,,19302.0,197,58
8570776037,,385.0,,125,58
8570710804,2405.0,,7827.0,377,58
8570633976,1775.0,,16499.0,368,58
8570012520,13630.0,,823.0,14,58
8569914503,5858.0,,16401.0,59,58
8569788728,16789.0,,691.0,100,58
8569592391,,5921.0,,4,58
8569460372,4390.0,,14822.0,196,58
8569364606,0.0,,21922.0,169,58
8569237006,1521.0,,18636.0,0,58
8569161346,968.0,,14620.0,298,58
