team_name,hero_name,picks,win_rate
1w Team,Axe,3,0.3333333333333333
1w Team,Dragon Knight,3,0.3333333333333333
1w Team,Hoodwink,4,0.25
1w Team,Mars,5,0.4
1w Team,Naga Siren,3,0.3333333333333333
1w Team,Puck,3,0.0
1w Team,Sand King,3,0.3333333333333333
1w Team,Terrorblade,3,0.3333333333333333
1w Team,Tusk,3,0.0
Amaru Gaming,Batrider,5,0.2
Amaru Gaming,Centaur Warrunner,4,0.5
Amaru Gaming,Chen,3,0.6666666666666666
Amaru Gaming,Dragon Knight,3,0.0
Amaru Gaming,Hoodwink,3,0.0
Amaru Gaming,Jakiro,4,0.25
Amaru Gaming,Kez,4,0.75
Amaru Gaming,Leshrac,3,0.3333333333333333
Amaru Gaming,Puck,4,0.25
Amaru Gaming,Shadow Demon,3,0.3333333333333333
Amaru Gaming,Terrorblade,3,0.3333333333333333
Amaru Gaming,Tusk,3,0.6666666666666666
Aurora Gaming,Abaddon,15,0.5333333333333333
Aurora Gaming,Batrider,5,0.8
Aurora Gaming,Beastmaster,3,0.6666666666666666
Aurora Gaming,Brewmaster,5,0.6
Aurora Gaming,Centaur Warrunner,11,0.5454545454545454
Aurora Gaming,Chen,8,0.625
Aurora Gaming,Dark Willow,3,0.3333333333333333
Aurora Gaming,Disruptor,3,0.6666666666666666
Aurora Gaming,Doom,4,0.25
Aurora Gaming,Dragon Knight,8,0.625
Aurora Gaming,Earthshaker,7,0.7142857142857143
Aurora Gaming,Ember Spirit,6,0.5
Aurora Gaming,Enchantress,5,0.6
Aurora Gaming,Faceless Void,3,1.0
Aurora Gaming,Gyrocopter,5,0.4
Aurora Gaming,Hoodwink,28,0.5
Aurora Gaming,Jakiro,24,0.4583333333333333
Aurora Gaming,Largo,5,0.8
Aurora Gaming,Leshrac,4,0.25
Aurora Gaming,Lifestealer,3,0.6666666666666666
Aurora Gaming,Lion,6,1.0
Aurora Gaming,Mars,22,0.5454545454545454
Aurora Gaming,Medusa,5,0.8
Aurora Gaming,Naga Siren,8,0.375
Aurora Gaming,Nyx Assassin,3,0.6666666666666666
Aurora Gaming,Pangolier,6,0.5
Aurora Gaming,Phoenix,12,0.75
Aurora Gaming,Primal Beast,5,0.4
Aurora Gaming,Puck,14,0.35714285714285715
Aurora Gaming,Pugna,6,0.3333333333333333
Aurora Gaming,Queen of Pain,8,0.5
Aurora Gaming,Razor,4,0.75
Aurora Gaming,Ringmaster,4,0.25
Aurora Gaming,Shadow Demon,13,0.7692307692307693
Aurora Gaming,Shadow Fiend,7,0.7142857142857143
Aurora Gaming,Shadow Shaman,6,0.6666666666666666
Aurora Gaming,Skywrath Mage,3,0.6666666666666666
Aurora Gaming,Slardar,6,0.3333333333333333
Aurora Gaming,Snapfire,4,0.25
Aurora Gaming,Storm Spirit,16,0.6875
Aurora Gaming,Sven,9,0.3333333333333333
Aurora Gaming,Tidehunter,6,0.3333333333333333
Aurora Gaming,Timbersaw,10,0.7
Aurora Gaming,Tiny,6,0.5
Aurora Gaming,Tusk,7,0.2857142857142857
Aurora Gaming,Ursa,15,0.5333333333333333
Aurora Gaming,Viper,7,0.7142857142857143
Aurora Gaming,Void Spirit,5,0.6
Aurora Gaming,Warlock,17,0.6470588235294118
Aurora Gaming,Windranger,10,0.8
BetBoom Team,Abaddon,14,0.42857142857142855
BetBoom Team,Axe,9,0.4444444444444444
BetBoom Team,Bane,12,0.5
BetBoom Team,Batrider,5,0.4
