league_name,team_name,matches,wins,winrate
DreamLeague S27,1w Team,13,3,0.23076923076923078
DreamLeague S27,Amaru Gaming,14,4,0.2857142857142857
DreamLeague S27,Aurora Gaming,16,6,0.375
DreamLeague S27,BetBoom Team,13,7,0.5384615384615384
DreamLeague S27,GamerLegion,14,6,0.42857142857142855
DreamLeague S27,HEROIC,14,6,0.42857142857142855
DreamLeague S27,MOUZ,13,6,0.46153846153846156
DreamLeague S27,Natus Vincere,15,8,0.5333333333333333
DreamLeague S27,Nigma Galaxy,14,6,0.42857142857142855
DreamLeague S27,OG,20,13,0.65
DreamLeague S27,PARIVISION,26,16,0.6153846153846154
DreamLeague S27,Passion UA,15,4,0.26666666666666666
DreamLeague S27,Pipsqueak+4,14,7,0.5
DreamLeague S27,Runa Team,14,7,0.5
DreamLeague S27,Team Falcons,19,10,0.5263157894736842
DreamLeague S27,Team Liquid,16,9,0.5625
DreamLeague S27,Team Nemesis,16,7,0.4375
DreamLeague S27,Team Spirit,27,17,0.6296296296296297
DreamLeague S27,Team Tidebound,14,7,0.5
DreamLeague S27,Team Yandex,27,18,0.6666666666666666
DreamLeague S27,Tundra Esports,20,12,0.6
DreamLeague S27,Virtus.pro,19,9,0.47368421052631576
DreamLeague S27,Xtreme Gaming,23,13,0.5652173913043478
DreamLeague S27,Yakult Brothers,16,5,0.3125
DreamLeague S28,Aurora Gaming,42,28,0.6666666666666666
DreamLeague S28,BetBoom Team,35,16,0.45714285714285713
DreamLeague S28,Execration,14,2,0.14285714285714285
DreamLeague S28,GamerLegion,14,4,0.2857142857142857
DreamLeague S28,MOUZ,31,14,0.45161290322580644
DreamLeague S28,Natus Vincere,14,7,0.5
DreamLeague S28,OG,16,7,0.4375
DreamLeague S28,PARIVISION,31,17,0.5483870967741935
DreamLeague S28,Team Falcons,30,16,0.5333333333333333
DreamLeague S28,Team Liquid,36,24,0.6666666666666666
DreamLeague S28,Team Spirit,14,6,0.42857142857142855
DreamLeague S28,Team Yandex,14,3,0.21428571428571427
DreamLeague S28,Tundra Esports,38,27,0.7105263157894737
DreamLeague S28,Xtreme Gaming,34,18,0.5294117647058824
DreamLeague S28,Yakult Brothers,14,3,0.21428571428571427
DreamLeague S28,paiN Gaming,13,3,0.23076923076923078
FISSURE S2,Aurora Gaming,14,7,0.5
FISSURE S2,BetBoom Team,24,14,0.5833333333333334
FISSURE S2,HEROIC,17,7,0.4117647058823529
FISSURE S2,MOUZ,22,12,0.5454545454545454
FISSURE S2,Nigma Galaxy,12,5,0.4166666666666667
FISSURE S2,PARIVISION,13,6,0.46153846153846156
FISSURE S2,Runa Team,10,3,0.3
FISSURE S2,Team Cobra,9,2,0.2222222222222222
FISSURE S2,Team Falcons,25,17,0.68
FISSURE S2,Team Liquid,23,13,0.5652173913043478
FISSURE S2,Team Spirit,15,10,0.6666666666666666
FISSURE S2,Team Yandex,20,11,0.55
FISSURE S2,Tundra Esports,18,9,0.5
FISSURE S2,Vici Gaming,12,6,0.5
FISSURE S2,Virtus.pro,7,1,0.14285714285714285
FISSURE S2,Yakult Brothers,7,1,0.14285714285714285
PGL Wallachia S6,BetBoom Team,23,12,0.5217391304347826
PGL Wallachia S6,GamerLegion,12,5,0.4166666666666667
PGL Wallachia S6,HEROIC,16,7,0.4375
PGL Wallachia S6,MOUZ,29,19,0.6551724137931034
PGL Wallachia S6,Natus Vincere,11,5,0.45454545454545453
PGL Wallachia S6,Nigma Galaxy,8,2,0.25
PGL Wallachia S6,OG,18,9,0.5
PGL Wallachia S6,PARIVISION,17,10,0.5882352941176471
PGL Wallachia S6,Roar,7,1,0.14285714285714285
PGL Wallachia S6,Team Cobra,7,1,0.14285714285714285
PGL Wallachia S6,Team Liquid,18,12,0.6666666666666666
PGL Wallachia S6,Team Spirit,21,14,0.6666666666666666
PGL Wallachia S6,Team Tidebound,8,2,0.25
PGL Wallachia S6,Tundra Esports,16,8,0.5
PGL Wallachia S6,Xtreme Gaming,14,7,0.5
PGL Wallachia S6,Yakult Brothers,11,4,0.36363636363636365
SLAM IV,Aurora Gaming,16,7,0.4375
SLAM IV,BetBoom Team,16,7,0.4375
SLAM IV,Execration,13,2,0.15384615384615385
SLAM IV,HEROIC,17,11,0.6470588235294118
SLAM IV,MOUZ,19,12,0.631578947368421
SLAM IV,Natus Vincere,14,7,0.5
SLAM IV,Team Aureus,13,5,0.38461538461538464
SLAM IV,Team Falcons,18,13,0.7222222222222222
SLAM IV,Team Liquid,16,6,0.375
SLAM IV,Team Spirit,17,10,0.5882352941176471
SLAM IV,Tundra Esports,19,14,0.7368421052631579
SLAM IV,Yakult Brothers,14,2,0.14285714285714285
SLAM V,Execration,13,4,0.3076923076923077
SLAM V,HEROIC,13,5,0.38461538461538464
SLAM V,MOUZ,18,11,0.6111111111111112
SLAM V,Natus Vincere,15,7,0.4666666666666667
SLAM V,OG,16,9,0.5625
SLAM V,Team Falcons,13,10,0.7692307692307693
SLAM V,Team Tidebound,13,5,0.38461538461538464
SLAM V,Team Yandex,22,12,0.5454545454545454
SLAM V,Tearlaments,14,2,0.14285714285714285
SLAM V,Tundra Esports,16,15,0.9375
