league_name,team_name,matches,wins,winrate
BLAST SLAM VI,GamerLegion,16,7,43.75
BLAST SLAM VI,HEROIC,19,10,52.63157894736842
BLAST SLAM VI,MOUZ,14,5,35.714285714285715
BLAST SLAM VI,Natus Vincere,20,11,55.00000000000001
BLAST SLAM VI,OG,14,7,50.0
BLAST SLAM VI,REKONIX,13,1,7.6923076923076925
BLAST SLAM VI,Team Falcons,18,10,55.55555555555556
BLAST SLAM VI,Team Liquid,25,18,72.0
BLAST SLAM VI,Team Spirit,13,5,38.46153846153847
BLAST SLAM VI,Team Yandex,22,13,59.09090909090909
BLAST SLAM VI,Tundra Esports,13,7,53.84615384615385
BLAST SLAM VI,Xtreme Gaming,13,6,46.15384615384615
DreamLeague Season 27,1w Team,13,3,23.076923076923077
DreamLeague Season 27,Amaru Gaming,14,4,28.57142857142857
DreamLeague Season 27,Aurora Gaming,16,6,37.5
DreamLeague Season 27,BetBoom Team,13,7,53.84615384615385
DreamLeague Season 27,GamerLegion,14,6,42.857142857142854
DreamLeague Season 27,HEROIC,14,6,42.857142857142854
DreamLeague Season 27,MOUZ,13,6,46.15384615384615
DreamLeague Season 27,Natus Vincere,15,8,53.333333333333336
DreamLeague Season 27,Nigma Galaxy,14,6,42.857142857142854
DreamLeague Season 27,OG,20,13,65.0
DreamLeague Season 27,PARIVISION,26,16,61.53846153846154
DreamLeague Season 27,Passion UA,15,4,26.666666666666668
DreamLeague Season 27,Pipsqueak+4,14,7,50.0
DreamLeague Season 27,Runa Team,14,7,50.0
DreamLeague Season 27,Team Falcons,19,10,52.63157894736842
DreamLeague Season 27,Team Liquid,16,9,56.25
DreamLeague Season 27,Team Nemesis,16,7,43.75
DreamLeague Season 27,Team Spirit,27,17,62.96296296296296
DreamLeague Season 27,Team Tidebound,14,7,50.0
DreamLeague Season 27,Team Yandex,27,18,66.66666666666666
DreamLeague Season 27,Tundra Esports,20,12,60.0
DreamLeague Season 27,Virtus.pro,19,9,47.368421052631575
DreamLeague Season 27,Xtreme Gaming,23,13,56.52173913043478
DreamLeague Season 27,Yakult Brothers,16,5,31.25
DreamLeague Season 28,Aurora Gaming,42,28,66.66666666666666
DreamLeague Season 28,BetBoom Team,35,16,45.714285714285715
DreamLeague Season 28,Execration,14,2,14.285714285714285
DreamLeague Season 28,GamerLegion,14,4,28.57142857142857
DreamLeague Season 28,MOUZ,31,14,45.16129032258064
DreamLeague Season 28,Natus Vincere,14,7,50.0
DreamLeague Season 28,OG,16,7,43.75
DreamLeague Season 28,PARIVISION,31,17,54.83870967741935
DreamLeague Season 28,Team Falcons,30,16,53.333333333333336
DreamLeague Season 28,Team Liquid,36,24,66.66666666666666
DreamLeague Season 28,Team Spirit,14,6,42.857142857142854
DreamLeague Season 28,Team Yandex,14,3,21.428571428571427
DreamLeague Season 28,Tundra Esports,38,27,71.05263157894737
DreamLeague Season 28,Xtreme Gaming,34,18,52.94117647058824
DreamLeague Season 28,Yakult Brothers,14,3,21.428571428571427
DreamLeague Season 28,paiN Gaming,13,3,23.076923076923077
FISSURE PLAYGROUND 2,Aurora Gaming,14,7,50.0
FISSURE PLAYGROUND 2,BetBoom Team,24,14,58.333333333333336
FISSURE PLAYGROUND 2,HEROIC,17,7,41.17647058823529
FISSURE PLAYGROUND 2,MOUZ,22,12,54.54545454545454
FISSURE PLAYGROUND 2,Nigma Galaxy,12,5,41.66666666666667
FISSURE PLAYGROUND 2,PARIVISION,13,6,46.15384615384615
FISSURE PLAYGROUND 2,Runa Team,10,3,30.0
FISSURE PLAYGROUND 2,Team Cobra,9,2,22.22222222222222
FISSURE PLAYGROUND 2,Team Falcons,25,17,68.0
FISSURE PLAYGROUND 2,Team Liquid,23,13,56.52173913043478
FISSURE PLAYGROUND 2,Team Spirit,15,10,66.66666666666666
FISSURE PLAYGROUND 2,Team Yandex,20,11,55.00000000000001
FISSURE PLAYGROUND 2,Tundra Esports,18,9,50.0
FISSURE PLAYGROUND 2,Vici Gaming,12,6,50.0
FISSURE PLAYGROUND 2,Virtus.pro,7,1,14.285714285714285
FISSURE PLAYGROUND 2,Yakult Brothers,7,1,14.285714285714285
PGL Wallachia 2025 Season 6,BetBoom Team,23,12,52.17391304347826
PGL Wallachia 2025 Season 6,GamerLegion,12,5,41.66666666666667
PGL Wallachia 2025 Season 6,HEROIC,16,7,43.75
PGL Wallachia 2025 Season 6,MOUZ,29,19,65.51724137931035
PGL Wallachia 2025 Season 6,Natus Vincere,11,5,45.45454545454545
PGL Wallachia 2025 Season 6,Nigma Galaxy,8,2,25.0
PGL Wallachia 2025 Season 6,OG,18,9,50.0
PGL Wallachia 2025 Season 6,PARIVISION,17,10,58.82352941176471
PGL Wallachia 2025 Season 6,Roar,7,1,14.285714285714285
PGL Wallachia 2025 Season 6,Team Cobra,7,1,14.285714285714285
PGL Wallachia 2025 Season 6,Team Liquid,18,12,66.66666666666666
PGL Wallachia 2025 Season 6,Team Spirit,21,14,66.66666666666666
PGL Wallachia 2025 Season 6,Team Tidebound,8,2,25.0
PGL Wallachia 2025 Season 6,Tundra Esports,16,8,50.0
PGL Wallachia 2025 Season 6,Xtreme Gaming,14,7,50.0
PGL Wallachia 2025 Season 6,Yakult Brothers,11,4,36.36363636363637
SLAM IV,Aurora Gaming,16,7,43.75
SLAM IV,BetBoom Team,16,7,43.75
SLAM IV,Execration,13,2,15.384615384615385
SLAM IV,HEROIC,17,11,64.70588235294117
SLAM IV,MOUZ,19,12,63.1578947368421
SLAM IV,Natus Vincere,14,7,50.0
SLAM IV,Team Aureus,13,5,38.46153846153847
SLAM IV,Team Falcons,18,13,72.22222222222221
SLAM IV,Team Liquid,16,6,37.5
SLAM IV,Team Spirit,17,10,58.82352941176471
SLAM IV,Tundra Esports,19,14,73.68421052631578
SLAM IV,Yakult Brothers,14,2,14.285714285714285
SLAM V,Execration,13,4,30.76923076923077
SLAM V,HEROIC,13,5,38.46153846153847
SLAM V,MOUZ,18,11,61.111111111111114
SLAM V,Natus Vincere,15,7,46.666666666666664
SLAM V,OG,16,9,56.25
SLAM V,Team Falcons,13,10,76.92307692307693
SLAM V,Team Tidebound,13,5,38.46153846153847
SLAM V,Team Yandex,22,12,54.54545454545454
SLAM V,Tearlaments,14,2,14.285714285714285
SLAM V,Tundra Esports,16,15,93.75
SLAM V,Xtreme Gaming,17,7,41.17647058823529
SLAM V,Yakult Brothers,16,6,37.5
